"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","entrance.type","pages","time","fraud"
"146",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.22,0
"147",27,16,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15.185,0
"148",27,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36.898,0
"149",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.541,0
"150",27,16,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22.104,0
"151",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.133,0
"152",27,27,16,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17.806,0
"153",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.291,0
"154",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20.76,0
"155",27,16,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.029,0
"156",27,16,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.322,0
"157",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.952,0
"158",27,8,10,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,89.656,0
"159",19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5.607,0
"160",8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15.281,0
"161",10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,75.896,0
"162",27,16,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50.569,0
"163",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.258,0
"164",27,8,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,37.911,0
"165",27,16,8,19,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64.604,0
"166",27,8,10,8,19,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,56.21,0
"167",27,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.524,0
"189",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.556,0
"202",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.407,0
"205",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4.214,0
"207",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59.23,0
"208",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.565,0
"212",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.809,0
"215",27,16,8,19,8,19,19,21,19,21,21,0,0,0,0,0,0,0,0,0,0,11,64.645,0
"216",27,8,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,460.615,0
"217",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.421,0
"218",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.913,0
"219",27,16,8,10,8,19,20,19,20,0,0,0,0,0,0,0,0,0,0,0,0,9,31.906,0
"220",27,16,8,10,8,19,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,10,113.688,0
"221",27,8,10,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,63.607,0
"222",27,8,10,7,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28.68,0
