"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","entrance.type","pages","time","fraud"
"8009",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,119.4,1
"253",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.476,1
"254",1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,96.048,1
"255",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25.355,1
"260",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.879,1
"261",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.808,1
"262",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.27,1
"263",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.896,1
"264",1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,97.889,1
"265",25,23,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,24.05,1
"266",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26.527,1
"267",25,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9.112,1
"268",23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21.476,1
"269",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.916,1
"270",25,22,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9.384,1
"271",25,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.217,1
"272",25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.991,1
"273",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.551,1
"274",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.788,1
"275",1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,94.405,1
"276",1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,98.208,1
"277",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26.019,1
"278",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26.622,1
"283",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.16,1
"284",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.877,1
"285",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.481,1
"286",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.513,1
